code,list,section,ordinal,supplementary,author,title,year,kind,stars,work_id,pdf,pdf_verdict,state,pages,sections,chunks,embedded,note
II.B.5,II. Dissertation,"Oral Tradition, Regional Language, and Folklore Collection",5,,"Espinosa, Aurelio M",The Folklore of Spain in the American Southwest: Traditional Spanish Folk Literature in Northern New Mexico and Southern Colorado,1985,monograph,,espinosa-the-folklore-of-spain-in-1985,"The Folklore of Spain in the American Southwest _ -- Espinosa, Aurelio Macedonio; Espinosa, J_ Manuel -- University of Oklahoma Press, Norman, Okla, -- 9780585145983 -- 78eadff7a5189a6490924bba3fea9dd8 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.B.6,II. Dissertation,"Oral Tradition, Regional Language, and Folklore Collection",6,,"Espinosa, J",Cuentos de cuanto hay / Tales from Spanish New Mexico,1998,monograph,,espinosa-cuentos-de-cuanto-hay-tales-1998,"Cuentos de Cuanto Hay_ Tales from Spanish New Mexico -- Espinosa, J_ Manuel (José Manuel), 1909-; Hayes, Joe -- 1st ed_, Albuquerque, New Mexico, -- isbn13 9780826319272 -- add192ec82b20f34df646cb9fbecf241 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.B.7,II. Dissertation,"Oral Tradition, Regional Language, and Folklore Collection",7,,"Griego y Maestas, José, y Rudolfo A",Cuentos: Tales from the Hispanic Southwest,1980,monograph,,griego-y-maestas-cuentos-tales-from-the-hispanic-1980,"Cuentos_ Tales from the Hispanic Southwest_ Based on Stories -- selected by and adapted in Spanish by José Griego y Maestas; -- Santa Fe, N_M, ©1980, -- 9780890131107 -- 73a969f2aaeb372fbafdf4c9fbe476bf -- Anna’s Archive.pdf",citable,loaded,188,0,162,162,
II.B.8,II. Dissertation,"Oral Tradition, Regional Language, and Folklore Collection",8,,"Pijoan de Van Etten, Teresa",Spanish-American Folktales: The Practical Wisdom of Spanish-Americans in 28 Eloquent and Simple Stories,1990,monograph,,pijoan-de-van-etten-spanish-american-folktales-the-practical-1990,"Spanish-American folktales _  the  practical wisdom of -- Pijoan, Teresa, 1951- -- 1st ed_, Little Rock, Arkansas, 1990 -- Little Rock _ August House -- isbn13 9780874831559 -- 84404b6bd31153658315495f67a0d170 -- Anna�s Archive.pdf",,missing,0,0,0,0,
II.B.9,II. Dissertation,"Oral Tradition, Regional Language, and Folklore Collection",9,,"Rael, Juan B",Cuentos españoles de Colorado y Nuevo México / Spanish Folk Tales from Colorado and New Mexico,1977,monograph,,rael-cuentos-espanoles-de-colorado-y-1977,"Cuentos Españoles De Colorado Y Nuevo México =_ Spanish Folk -- Rael, Juan Bautista_ -- 2d ed_, rev_, Santa Fe, New Mexico, 1977 -- Santa Fe_ Museum -- 9780890130933 -- 4352bea88e457328370a1b7fa8adc57c -- Anna’s Archive.pdf",citable,loaded,836,0,696,696,
II.B.10,II. Dissertation,"Oral Tradition, Regional Language, and Folklore Collection",10,,"Rebolledo, Tey Diana, y María Teresa Márquez, editoras",Women's Tales from the New Mexico WPA: La diabla a pie,2000,edited_volume,,rebolledo-women-s-tales-from-the-2000,Women's Tales from the New Mexico WPA_ La Diabla a Pie -- Tey Diana Rebolledo; Mari_a Teresa M�rquez -- Recovering the U_S Hispanic Literary Heritage -- isbn13 9781558853126 -- c2ac911d43f7090048c2f275f895f009 -- Anna�s Archive.pdf.,probably citable,loaded,104,0,68,68,
II.B.11,II. Dissertation,"Oral Tradition, Regional Language, and Folklore Collection",11,,"Vigil, Ángel, recopilador",The Corn Woman: Stories and Legends of the Hispanic Southwest,1994,edited_volume,,vigil-the-corn-woman-stories-and-1994,"The corn woman _ stories and legends of the Hispanic -- retold by Angel Vigil; translated by Jennifer Audrey Lowell -- Bloomsbury USA, Englewood, -- 9780313069895 -- c92fca77f069c30392a6383e68e1bf56 -- Anna’s Archi.pdf",citable,loaded,298,7,207,207,
II.C.12,II. Dissertation,"Witchcraft, Healing, and Supernatural Encounters",12,,"Delgado, Edmundo R",Witch Stories of New Mexico: Folklore of New Spain / Cuentos de brujas de Nuevo México: folklore de la Nueva España,1994,monograph,,delgado-witch-stories-of-new-mexico-1994,,,missing,0,0,0,0,
II.C.13,II. Dissertation,"Witchcraft, Healing, and Supernatural Encounters",13,,"García, Nasario, recopilador","Brujas, bultos, y brasas: Tales of Witchcraft and the Supernatural in the Pecos Valley",1999,edited_volume,,garcia-brujas-bultos-y-brasas-tales-1999,,,missing,0,0,0,0,
II.C.14,II. Dissertation,"Witchcraft, Healing, and Supernatural Encounters",14,,"García, Nasario",Brujerías: Stories of Witchcraft and the Supernatural in the American Southwest and Beyond,2007,monograph,,garcia-brujerias-stories-of-witchcraft-and-2007,,,missing,0,0,0,0,
