filename,verdict,pages,offset,agreement,folios,producer,against,for
"Ghosts of My Life_ Writings on Depression, Hauntology and -- Fisher, Mark -- 2017 -- John Hunt (NBN) -- 41c838e5e1ecc754350d78a48f47c651 -- Anna’s Archive.pdf",check by hand,215,,,7,calibre 2.85.1 [https://calibre-ebook.com] calibre 2.85.1 [h,produced by a converter: calibre 2.85.1 [https://calibre-ebook.co | only 7 printed page numbers in 215 pages | no running heads,copyright page present
"Hablando De Brujas Y La Gente De Antes_ Poemas Del Río Chama -- por Jim Sagel; introduction by John Nichols -- Austin, Tex, Texas, 1981 -- Austin, -- 9780916908027 -- 01952a1d38588e8dc6a20a5044187476 -- Anna’s Arc.pdf",citable,92,-10,0.97,61,Internet Archive PDF 1.4.12; including mupdf and pymupdf/ski,,"consistent print pagination, offset -10 (59 of 61 bare folios) | copyright page present | running heads"
"Hidden Chicano Cinema _ Film Dramas in the Borderlands -- A_ Gabriel Melendez, A_ Gabriel Meléndez -- Rutgers University Press, New Brunswick, New -- isbn13 9780813561066 -- 87f2a14148715966687f88fe1ba63929 -- Anna’s Archive.pdf",citable,289,-15,1.0,269,Adobe PDF Library 10.0.1 Adobe InDesign CS6 (Macintosh),,"typeset: Adobe PDF Library 10.0.1 Adobe InDesign  | consistent print pagination, offset -15 (268 of 269 bare folios) | copyright page present | running heads"
"Historia de la Nueva México -- Villagrá, Gaspar de -- elibro_net, Alcalá de Henares, 2011 -- Editorial Universidad de Alcalá -- isbn13 9788481388824 -- d51909a3110f65fd03ee1d91fce6cd8c -- Anna’s Archive.pdf",citable,501,1,0.9,478,calibre,produced by a converter: calibre | no copyright page,"consistent print pagination, offset +1 (431 of 478 bare folios) | running heads"
"I am Joaquín_ Yo soy Joaquín; an epic poem_ With a -- Gonzales, Rodolfo, 1928-2005 -- 1975 -- Toronto, New York [Bantam Books] -- oclc 1035614296 -- c09e22ebec6d6f6b06053c04fa9671c7 -- Anna’s Archive.pdf",citable,132,-8,0.94,50,Internet Archive PDF 1.4.16; including mupdf and pymupdf/ski,no copyright page,"consistent print pagination, offset -8 (47 of 50 bare folios) | running heads"
Indan given.pdf,citable,42,65,0.98,42,itext-paulo-155 (itextpdf.sf.net-lowagie.com); modified usin,no copyright page,"consistent print pagination, offset +65 (41 of 42 bare folios) | running heads"
"Indian Given_ Racial Geographies across Mexico and the -- María Josefina Saldaña-Portillo -- Latin America otherwise _ languages, empires, nations, -- isbn13 9780822359883 -- e9c35a63deb7d6c6e530e58b192fdb18 -- Anna’s Archive.pdf",citable,353,-13,0.98,325,Adobe PDF Library 11.0 Adobe InDesign CC 2014 (Macintosh),,"typeset: Adobe PDF Library 11.0 Adobe InDesign CC | consistent print pagination, offset -13 (320 of 325 bare folios) | copyright page present | running heads"
Indian given 2.pdf,citable,46,107,0.98,46,itext-paulo-155 (itextpdf.sf.net-lowagie.com); modified usin,no copyright page,"consistent print pagination, offset +107 (45 of 46 bare folios) | running heads"
Indian given 3.pdf,citable,38,194,0.97,37,itext-paulo-155 (itextpdf.sf.net-lowagie.com); modified usin,no copyright page,"consistent print pagination, offset +194 (36 of 37 bare folios) | running heads"
"Indios americanos- Supersticiones, hechicerías, prácticas -- Ernesto Palza -- 2, 1946 -- Ernesto Palza S_ -- 440cbf0d4af6d708dcba6b0e38f3eaae -- Anna’s Archive.pdf",check by hand,178,,,3,ABBYY FineReader 11,only 3 printed page numbers in 178 pages | no copyright page | no running heads,
