id,author,title,year,isbn,list_id,list,section,section_letter,group,examinable,other_titles,entry
molloy-acto-de-presencia-la-escritura-1996,"Molloy, Sylvia",Acto de presencia: la escritura autobiográfica en Hispanoamérica,1996,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Molloy, Sylvia. Acto de presencia: la escritura autobiográfica en Hispanoamérica. Traducción de José Esteban Calderón, El Colegio de México / Fondo de Cultura Económica, 1996."
stoler-along-the-archival-grain-epistemic-2009,"Stoler, Ann Laura",Along the Archival Grain: Epistemic Anxieties and Colonial Common Sense,2009,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Stoler, Ann Laura. Along the Archival Grain: Epistemic Anxieties and Colonial Common Sense. Princeton University Press, 2009."
taylor-the-archive-and-the-repertoire-2003,"Taylor, Diana",The Archive and the Repertoire: Performing Cultural Memory in the Americas,2003,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Taylor, Diana. The Archive and the Repertoire: Performing Cultural Memory in the Americas. Duke University Press, 2003."
adorno-the-polemics-of-possession-in-2007,"Adorno, Rolena",The Polemics of Possession in Spanish American Narrative,2007,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Adorno, Rolena. The Polemics of Possession in Spanish American Narrative. Yale University Press, 2007."
gerhard-la-frontera-norte-de-la-1996,"Gerhard, Peter",La frontera norte de la Nueva España,1996,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Gerhard, Peter. La frontera norte de la Nueva España. Traducción de Patricia Escandón Bolaños, mapas de Bruce Campbell, Universidad Nacional Autónoma de México, 1996."
gomez-barris-the-extractive-zone-social-ecologies-2017,"Gómez-Barris, Macarena",The Extractive Zone: Social Ecologies and Decolonial Perspectives,2017,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Gómez-Barris, Macarena. The Extractive Zone: Social Ecologies and Decolonial Perspectives. Duke University Press, 2017."
jauregui-espectros-y-conjuras-asedios-a-2020,"Jáuregui, Carlos A",Espectros y conjuras: asedios a la cuestión colonial,2020,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Jáuregui, Carlos A. Espectros y conjuras: asedios a la cuestión colonial. Iberoamericana / Vervuert, 2020."
saldana-portillo-indian-given-racial-geographies-across-2016,"Saldaña-Portillo, María Josefina",Indian Given: Racial Geographies across Mexico and the United States,2016,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Saldaña-Portillo, María Josefina. Indian Given: Racial Geographies across Mexico and the United States. Duke University Press, 2016."
taussig-shamanism-colonialism-and-the-wild-1987,"Taussig, Michael","Shamanism, Colonialism, and the Wild Man: A Study in Terror and Healing",1987,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Taussig, Michael. Shamanism, Colonialism, and the Wild Man: A Study in Terror and Healing. University of Chicago Press, 1987."
anzaldua-borderlands-la-frontera-the-new-1987,"Anzaldúa, Gloria",Borderlands / La Frontera: The New Mestiza,1987,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"Anzaldúa, Gloria. Borderlands / La Frontera: The New Mestiza. Aunt Lute Books, 1987."
castillo-massacre-of-the-dreamers-essays-1994,"Castillo, Ana",Massacre of the Dreamers: Essays on Xicanisma,1994,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"Castillo, Ana. Massacre of the Dreamers: Essays on Xicanisma. University of New Mexico Press, 1994."
delgado-you-re-not-indian-you-2007,"Delgado, Vivian","You're Not Indian, You're Mexican",2007,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"Delgado, Vivian. You're Not Indian, You're Mexican. Turtle Island Press, 2007."
gonzales-red-medicine-traditional-indigenous-rite-2012,"Gonzales, Patrisia",Red Medicine: Traditional Indigenous Rites of Birthing and Healing,2012,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"Gonzales, Patrisia. Red Medicine: Traditional Indigenous Rites of Birthing and Healing. University of Arizona Press, 2012."
leon-la-llorona-s-children-religion-2004,"León, Luis D","La Llorona's Children: Religion, Life, and Death in the U.S.–Mexican Borderlands",2004,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"León, Luis D. La Llorona's Children: Religion, Life, and Death in the U.S.–Mexican Borderlands. University of California Press, 2004."
simpson-mohawk-interruptus-political-life-across-2014,"Simpson, Audra",Mohawk Interruptus: Political Life across the Borders of Settler States,2014,,theory,I. Theory,"E. Indigenous Studies: Sovereignty, Refusal, and Temporality",E,core,yes,,"Simpson, Audra. Mohawk Interruptus: Political Life across the Borders of Settler States. Duke University Press, 2014."
fong-ethnic-studies-research-approaches-and-2008,"Fong, Timothy P",Ethnic Studies Research: Approaches and Perspectives,2008,,theory,I. Theory,F. Ethnography and Ethnic Studies Methods,F,core,yes,,"Fong, Timothy P., editor. Ethnic Studies Research: Approaches and Perspectives. AltaMira Press, 2008."
sanjek-fieldnotes-the-makings-of-anthropology-1990,"Sanjek, Roger, editor",Fieldnotes: The Makings of Anthropology,1990,,theory,I. Theory,F. Ethnography and Ethnic Studies Methods,F,core,yes,,"Sanjek, Roger, editor. Fieldnotes: The Makings of Anthropology. Cornell University Press, 1990."
segato-la-critica-de-la-colonialidad-2021,"Segato, Rita Laura",La crítica de la colonialidad en ocho ensayos: y una antropología por demanda,2021,,theory,I. Theory,Supplementary,,supplementary,yes,,"Segato, Rita Laura. La crítica de la colonialidad en ocho ensayos: y una antropología por demanda. Prometeo Libros, 2021."
rifkin-beyond-settler-time-temporal-sovereignty-2017,"Rifkin, Mark",Beyond Settler Time: Temporal Sovereignty and Indigenous Self-Determination,2017,,theory,I. Theory,Supplementary,,supplementary,yes,,"Rifkin, Mark. Beyond Settler Time: Temporal Sovereignty and Indigenous Self-Determination. Duke University Press, 2017."
cabeza-de-vaca-naufragios-1989,"Cabeza de Vaca, Álvar Núñez",Naufragios,1989,,dissertation,II. Dissertation,"A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",A,core,yes,,"Cabeza de Vaca, Álvar Núñez. Naufragios. Edición de Juan Francisco Maura, Cátedra, 1989."
villagra-historia-de-la-nueva-mexico-2010,"Villagrá, Gaspar Pérez de",Historia de la Nueva México,2010,,dissertation,II. Dissertation,"A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",A,core,yes,,"Villagrá, Gaspar Pérez de. Historia de la Nueva México. Edición de Manuel M. Martín Rodríguez, Instituto Franklin / Universidad de Alcalá, 2010."
flores-relatos-populares-de-la-inquisicion-2010,"Flores, Enrique, Mariana Masera, coordinadores","Relatos populares de la Inquisición novohispana: rito, magia y otras ""supersticiones"", siglos XVII–XVIII",2010,,dissertation,II. Dissertation,"A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",A,core,yes,,"Flores, Enrique, Mariana Masera, coordinadores. Relatos populares de la Inquisición novohispana: rito, magia y otras ""supersticiones"", siglos XVII–XVIII. Consejo Superior de Investigaciones Científicas / Universidad Nacional Autónoma de México, 2010."
ebright-the-witches-of-abiquiu-the-2006,"Ebright, Malcolm, Rick Hendricks","The Witches of Abiquiu: The Governor, the Priest, the Genízaro Indians, and the Devil",2006,,dissertation,II. Dissertation,"A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",A,core,yes,,"Ebright, Malcolm, Rick Hendricks. The Witches of Abiquiu: The Governor, the Priest, the Genízaro Indians, and the Devil. University of New Mexico Press, 2006."
espinosa-the-folklore-of-spain-in-1985,"Espinosa, Aurelio M",The Folklore of Spain in the American Southwest: Traditional Spanish Folk Literature in Northern New Mexico and Southern Colorado,1985,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Espinosa, Aurelio M. The Folklore of Spain in the American Southwest: Traditional Spanish Folk Literature in Northern New Mexico and Southern Colorado. Edición de J. Manuel Espinosa, University of Oklahoma Press, 1985."
espinosa-cuentos-de-cuanto-hay-tales-1998,"Espinosa, J",Cuentos de cuanto hay / Tales from Spanish New Mexico,1998,,dissertation,II. Dissertation,"B. Oral Tradition, Regional Language, and Folklore Collection",B,core,yes,,"Espinosa, J. Manuel, recopilador. Cuentos de cuanto hay / Tales from Spanish New Mexico. Edición y traducción de Joe Hayes, ilustraciones de William Rotsaert, University of New Mexico Press, 1998."
