id,author,title,year,isbn,list_id,list,section,section_letter,group,examinable,other_titles,entry,file,how,note,ext,file_isbn,citable
anzaldua-borderlands-la-frontera-the-new-1987,"Anzaldúa, Gloria",Borderlands / La Frontera: The New Mestiza,1987,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"Anzaldúa, Gloria. Borderlands / La Frontera: The New Mestiza. Aunt Lute Books, 1987.","Borderlands _ the new Mestiza = La Frontera -- Anzaldúa, Gloria -- 1st ed_, San Francisco, 1991 -- San Francisco _ Aunt Lute Books -- isbn13 9781879960121 -- 05c1474bd01ce6aacd9ccedf8bc96ef5 -- Anna’s Archive.pdf",matched (90),,.pdf,9781879960121,yes
castillo-massacre-of-the-dreamers-essays-1994,"Castillo, Ana",Massacre of the Dreamers: Essays on Xicanisma,1994,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"Castillo, Ana. Massacre of the Dreamers: Essays on Xicanisma. University of New Mexico Press, 1994.","Massacre of the Dreamers _ Essays on Xicanisma_ 20th -- Castillo, Ana; Estés, Clarissa Pinkola -- 20th Anniversary updated edition, Albuquerque, 2014 -- isbn13 9780826353580 -- 467d293626403870bd98ab4a77f433e5 -- Anna’s Archive.pdf",matched (110),,.pdf,9780826353580,yes
delgado-you-re-not-indian-you-2007,"Delgado, Vivian","You're Not Indian, You're Mexican",2007,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"Delgado, Vivian. You're Not Indian, You're Mexican. Turtle Island Press, 2007.",,,,,,
gonzales-red-medicine-traditional-indigenous-rite-2012,"Gonzales, Patrisia",Red Medicine: Traditional Indigenous Rites of Birthing and Healing,2012,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"Gonzales, Patrisia. Red Medicine: Traditional Indigenous Rites of Birthing and Healing. University of Arizona Press, 2012.",Red_Medicine_Traditional_Indigenous_Rites_of_Birth....pdf,matched (85),,.pdf,,yes
leon-la-llorona-s-children-religion-2004,"León, Luis D","La Llorona's Children: Religion, Life, and Death in the U.S.–Mexican Borderlands",2004,,theory,I. Theory,"D. Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",D,core,yes,,"León, Luis D. La Llorona's Children: Religion, Life, and Death in the U.S.–Mexican Borderlands. University of California Press, 2004.","La Llorona's Children _ Religion, Life, and Death in the -- León, Luis D_ -- Reprint 2019, 2004 dec 31 -- University of California Press -- isbn13 9780520223509 -- 906539c58ccfcc90601d9b98d53c29b3 -- Anna’s Archive.pdf",matched (110),,.pdf,9780520223509,yes
simpson-mohawk-interruptus-political-life-across-2014,"Simpson, Audra",Mohawk Interruptus: Political Life across the Borders of Settler States,2014,,theory,I. Theory,"E. Indigenous Studies: Sovereignty, Refusal, and Temporality",E,core,yes,,"Simpson, Audra. Mohawk Interruptus: Political Life across the Borders of Settler States. Duke University Press, 2014.","Mohawk interruptus _ {political life across the borders of -- Simpson, Audra -- 2014 may 27 -- Duke University Press_ London -- isbn13 9780822356431 -- 969d649e33a5dbc4008df5128a3ecbd1 -- Anna’s Archive.pdf",matched (110),,.pdf,9780822356431,yes
fong-ethnic-studies-research-approaches-and-2008,"Fong, Timothy P",Ethnic Studies Research: Approaches and Perspectives,2008,,theory,I. Theory,F. Ethnography and Ethnic Studies Methods,F,core,yes,,"Fong, Timothy P., editor. Ethnic Studies Research: Approaches and Perspectives. AltaMira Press, 2008.",Ethnic Studies Researchepub.epub,override,the .lcpdf beside it is DRM-locked and unusable,.epub,,no
sanjek-fieldnotes-the-makings-of-anthropology-1990,"Sanjek, Roger, editor",Fieldnotes: The Makings of Anthropology,1990,,theory,I. Theory,F. Ethnography and Ethnic Studies Methods,F,core,yes,,"Sanjek, Roger, editor. Fieldnotes: The Makings of Anthropology. Cornell University Press, 1990.","Fieldnotes _ the Makings of Anthropology -- Sanjek, Roger (editor) -- 2019 dec 31 -- Cornell University Press -- isbn13 9781501711954 -- 0f8cdea2869abd51f2da0e9e89b781ea -- Anna’s Archive.pdf",override,,.pdf,9781501711954,yes
segato-la-critica-de-la-colonialidad-2021,"Segato, Rita Laura",La crítica de la colonialidad en ocho ensayos: y una antropología por demanda,2021,,theory,I. Theory,Supplementary,,supplementary,yes,,"Segato, Rita Laura. La crítica de la colonialidad en ocho ensayos: y una antropología por demanda. Prometeo Libros, 2021.",,,,,,
rifkin-beyond-settler-time-temporal-sovereignty-2017,"Rifkin, Mark",Beyond Settler Time: Temporal Sovereignty and Indigenous Self-Determination,2017,,theory,I. Theory,Supplementary,,supplementary,yes,,"Rifkin, Mark. Beyond Settler Time: Temporal Sovereignty and Indigenous Self-Determination. Duke University Press, 2017.",,,,,,
cabeza-de-vaca-naufragios-1989,"Cabeza de Vaca, Álvar Núñez",Naufragios,1989,,dissertation,II. Dissertation,"A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",A,core,yes,,"Cabeza de Vaca, Álvar Núñez. Naufragios. Edición de Juan Francisco Maura, Cátedra, 1989.","Naufragios de Alvar Núñez Cabeza de Vaca -- Álvar Núñez Cabeza de Vaca -- Middlesex, 2007 -- The Echo Library -- isbn13 9781406847048 -- c983bc018ab3208d7f3544ead4427f16 -- Anna’s Archive.pdf",matched (90),,.pdf,9781406847048,yes
villagra-historia-de-la-nueva-mexico-2010,"Villagrá, Gaspar Pérez de",Historia de la Nueva México,2010,,dissertation,II. Dissertation,"A. Colonial Narratives, Inquisitorial Archives, and Territorial Formation",A,core,yes,,"Villagrá, Gaspar Pérez de. Historia de la Nueva México. Edición de Manuel M. Martín Rodríguez, Instituto Franklin / Universidad de Alcalá, 2010.","Historia de la Nueva México -- Villagrá, Gaspar de -- elibro_net, Alcalá de Henares, 2011 -- Editorial Universidad de Alcalá -- isbn13 9788481388824 -- d51909a3110f65fd03ee1d91fce6cd8c -- Anna’s Archive.pdf",matched (110),,.pdf,9788481388824,yes
